Designator,Footprint,Quantity,Value,Link,Price,Sum
BT1,BatteryHolder_Eagle_12BH611-GR,1,Battery_Cell 9V,https://www.digikey.ee/en/products/detail/vishay-semiconductor-opto-division/BPW34/1681149,"1,06 €","7,34 €."
C1,805,1,22p,https://www.digikey.ee/en/products/detail/samsung-electro-mechanics/CL21A226MAYNNNE/10479857,"0,07 €",
C2,805,1,1u,https://www.digikey.ee/en/products/detail/samsung-electro-mechanics/CL21B105KBFNNNE/3886687,"0,07 €",
"C3, C4",805,2,10u,https://www.digikey.ee/en/products/detail/samsung-electro-mechanics/CL21A106KOQNNNE/3886754,"2x 0,07 €",
C5,805,1,100n,https://www.digikey.ee/en/products/detail/samsung-electro-mechanics/CL21B104KBCNNNC/3886661,"0,07 €",
D1,Osram_DIL2_4.3x4.65mm_P5.08mm,1,BPW34,https://www.digikey.ee/en/products/detail/ams-osram-usa-inc/BPW34/607274,"0,98 €",
"D2, D3, D4",LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm,3,LED,https://www.digikey.ee/en/products/detail/w%C3%BCrth-elektronik/151051RS11000/4490012,"3x 0,13 €",
D5,805,1,LED,https://www.digikey.ee/en/products/detail/liteon/LTST-C171KRKT/386801,"0,11 €",
D6,D_SMA,1,SMAJ13A,https://www.digikey.ee/en/products/detail/littelfuse-inc/SMAJ13A/762272,"0,20 €",
F1,1206,1,SMDH1206B005TF,https://www.digikey.ee/en/products/detail/yageo/SMDH1206B005TF/26283751,"0,09 €",
R1,805,1,220,https://www.digikey.ee/en/products/detail/vishay-dale/CRCW0805220RFKEBC/7923132,"0,09 €",
"R10, R7, R8, R9",805,4,1k,https://www.digikey.ee/en/products/detail/vishay-dale/CRCW08051K00FKEA/1175637,"4x 0,09 €",
R2,805,1,500k,https://www.digikey.ee/en/products/detail/stackpole-electronics-inc/RNCF0805BTE500K/6240086,"0,10 €",
"R3, R6",805,2,10k,https://www.digikey.ee/en/products/detail/vishay-dale/CRCW080510K0FKEA/1175751,"2x 0,09 €",
R4,805,1,14.7k,https://www.digikey.ee/en/products/detail/vishay-dale/CRCW080514K7FKEA/1175768,"0,09 €",
R5,805,1,5k,https://www.digikey.ee/en/products/detail/vishay-dale/CRCW08055K00JNTA/5075662,"0,12 €",
SW1,Nidec_Copal_CAS-120A,1,SW_Nidec_CAS-120A1,https://eu.mouser.com/ProductDetail/Nidec-Components/CAS-120A1?qs=XeJtXLiO41SLHVe%252BE1BF5w%3D%3D&srsltid=AfmBOoqBGrVegzdOnaZqptAWWxP1yKE8HUdyJdcXJ8ZGQmkMoz_saiKj,"1,26 €",
U1,TO-220-3_Vertical,1,LM7805_TO220,https://www.digikey.ee/en/products/detail/texas-instruments/LM7805CT-NOPB/3901929,"1,55 €",
U2,DIP-14_W7.62mm_SMDSocket_SmallPads,1,LM324,https://www.digikey.ee/en/products/detail/texas-instruments/LM324N/277627,"0,41 €",
,,,,,,
