Reference,Qty,Value,Footprint,Datasheet,Mouser Price/Stock
BT1,1,Battery_Cell 9V,Battery:BatteryHolder_Eagle_12BH611-GR,https://www.mouser.com/catalog/specsheets/EPD-200766.pdf?_gl=1*f86mo4*_gcl_au*MTA2MTk2OTIxNC4xNzY0NzA2NDYw*_ga*MTk3OTE1MDk4OS4xNzY0NzA2NDYy*_ga_15W4STQT4T*czE3NjQ3MDY0NjEkbzEkZzAkdDE3NjQ3MDY0NjQkajU3JGwwJGgw,"1,46"
C1,1,22p,Capacitor_SMD:C_0805_2012Metric,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5534/CL21C220JB61PNC%20Spec.pdf,"0,10"
C2,1,1u,Capacitor_SMD:C_0805_2012Metric,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5660/3372_0805B105J250CC.pdf,"0,10"
"C3,C4",2,10u,Capacitor_SMD:C_0805_2012Metric,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5660/3372_0805W106K6R3CC.pdf,"2x0,16"
C5,1,100n,Capacitor_SMD:C_0805_2012Metric,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5491/0805B104K201DC.pdf,"0,06"
D1,1,BPW34,OptoDevice:Osram_DIL2_4.3x4.65mm_P5.08mm,http://www.vishay.com/docs/81521/bpw34.pdf,"1,06"
"D2,D3,D4",3,LED,LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm,~,
D5,1,LED,LED_SMD:LED_0805_2012Metric,~,
D6,1,SMAJ13A,Diode_SMD:D_SMA,https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet,"0,12"
F1,1,SMDH1206B005TF,Resistor_SMD:R_1206_3216Metric,https://www.mouser.ee/datasheet/3/508/1/smdh1206.pdf,"0,09"
R1,1,220,Resistor_SMD:R_0805_2012Metric,~,
R2,1,500k,Resistor_SMD:R_0805_2012Metric,~,
"R3,R6",2,10k,Resistor_SMD:R_0805_2012Metric,~,
R4,1,14.7k,Resistor_SMD:R_0805_2012Metric,~,
R5,1,5k,Resistor_SMD:R_0805_2012Metric,~,
"R7,R8,R9,R10",4,1k,Resistor_SMD:R_0805_2012Metric,~,
SW1,1,SW_Nidec_CAS-120A1,Button_Switch_SMD:Nidec_Copal_CAS-120A,https://www.nidec-components.com/e/catalog/switch/cas.pdf,"1,26"
U1,1,LM7805_TO220,Package_TO_SOT_THT:TO-220-3_Vertical,https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF,"1,55"
U2,1,LM324,Package_DIP:DIP-14_W7.62mm_SMDSocket_SmallPads,http://www.ti.com/lit/ds/symlink/lm2902-n.pdf,"0,40"
